date,ticker,close,sl_w,stop_loss_pct,buy_signal,sell_signal,in_portfolio,units_held,avg_buy_price,position_size_estimate,units_purchaseable,portfolio_value_bod
2020-01-02,ALPHA,100.0,90.0,0.1,0,0,False,0,,10000000.0,100000,100000000.0
2020-01-02,BETA,200.0,180.0,0.1,0,0,False,0,,10000000.0,50000,100000000.0
2020-01-03,ALPHA,100.5,90.0,0.1044776119402985,0,0,False,0,,9571428.57142857,95238,100000000.0
2020-01-03,BETA,200.5,180.0,0.10224438902743142,0,0,False,0,,9780487.804878049,48780,100000000.0
2020-01-06,ALPHA,101.0,90.0,0.10891089108910891,0,0,False,0,,9181818.181818182,90909,100000000.0
2020-01-06,BETA,201.0,180.0,0.1044776119402985,0,0,False,0,,9571428.57142857,47619,100000000.0
2020-01-07,ALPHA,101.5,90.0,0.11330049261083744,0,0,False,0,,8826086.956521738,86956,100000000.0
2020-01-07,BETA,201.5,180.0,0.10669975186104218,0,0,False,0,,9372093.023255814,46511,100000000.0
2020-01-08,ALPHA,102.0,90.0,0.11764705882352941,0,0,False,0,,8500000.0,83333,100000000.0
2020-01-08,BETA,202.0,180.0,0.10891089108910891,0,0,False,0,,9181818.181818182,45454,100000000.0
2020-01-09,ALPHA,102.5,90.0,0.12195121951219512,1,0,False,80000,102.5,8200000.0,80000,100000000.0
2020-01-09,BETA,202.5,180.0,0.1111111111111111,1,0,False,44444,202.5,9000000.0,44444,100000000.0
2020-01-10,ALPHA,103.0,90.0,0.1262135922330097,0,0,True,80000,102.5,7928006.819999999,76970,100062222.0
2020-01-10,BETA,203.0,180.0,0.11330049261083744,0,0,True,44444,202.5,8831578.724347826,43505,100062222.0
2020-01-13,ALPHA,103.5,90.0,0.13043478260869565,0,0,True,80000,102.5,7676207.373333334,74166,100124444.0
2020-01-13,BETA,203.5,180.0,0.11547911547911548,0,0,True,44444,202.5,8670350.788936172,42606,100124444.0
2020-01-14,ALPHA,104.0,90.0,0.1346153846153846,0,0,True,80000,102.5,7442438.045714286,71561,100186666.0
2020-01-14,BETA,204.0,180.0,0.11764705882352941,0,0,True,44444,202.5,8515866.610000001,41744,100186666.0
2020-01-15,ALPHA,104.5,90.0,0.13875598086124402,0,0,True,80000,102.5,7224833.652413793,69137,100248888.0
2020-01-15,BETA,204.5,180.0,0.1198044009779951,0,0,True,44444,202.5,8367713.304489796,40917,100248888.0
2020-01-16,ALPHA,105.0,90.0,0.14285714285714285,0,0,True,80000,102.5,7021777.7,66874,100311110.0
2020-01-16,BETA,205.0,180.0,0.12195121951219512,0,0,True,44444,202.5,8225511.02,40124,100311110.0
2020-01-17,ALPHA,105.5,90.0,0.14691943127962084,0,0,True,80000,102.5,6831862.27483871,64756,100373332.0
2020-01-17,BETA,205.5,180.0,0.12408759124087591,0,0,True,44444,202.5,8088909.696470588,39362,100373332.0
2020-01-20,ALPHA,106.0,90.0,0.1509433962264151,0,0,True,80000,102.5,6653855.452500001,62772,100435554.0
2020-01-20,BETA,206.0,180.0,0.1262135922330097,0,0,True,44444,202.5,7957586.201538462,38629,100435554.0
2020-01-21,ALPHA,106.5,90.0,0.15492957746478872,0,0,True,80000,102.5,6486674.632727274,60907,100497776.0
2020-01-21,BETA,206.5,180.0,0.12832929782082325,0,0,True,44444,202.5,7831241.790188679,37923,100497776.0
2020-01-22,ALPHA,107.0,90.0,0.1588785046728972,0,0,True,80000,102.5,6329364.58,59152,100559998.0
2020-01-22,BETA,207.0,180.0,0.13043478260869565,0,0,True,44444,202.5,7709599.846666667,37244,100559998.0
2020-01-23,ALPHA,107.5,90.0,0.16279069767441862,1,0,True,137498,104.59086677624401,6181079.228571429,57498,100622220.0
2020-01-23,BETA,207.5,180.0,0.13253012048192772,1,0,True,81033,204.75766045931906,7592403.872727273,36589,100622220.0
2020-01-24,ALPHA,108.0,90.0,0.16666666666666666,0,0,True,137498,104.59086677624401,6043889.13,55961,100731485.5
2020-01-24,BETA,208.0,180.0,0.1346153846153846,0,0,True,81033,204.75766045931906,7482910.351428572,35975,100731485.5
2020-01-27,ALPHA,108.5,90.0,0.17050691244239632,0,0,True,137498,104.59086677624401,5914173.774864865,54508,100840751.0
2020-01-27,BETA,208.5,180.0,0.1366906474820144,0,0,True,81033,204.75766045931906,7377297.046842105,35382,100840751.0
2020-01-28,ALPHA,109.0,90.0,0.1743119266055046,0,0,True,137498,104.59086677624401,5791343.051842106,53131,100950016.5
2020-01-28,BETA,209.0,180.0,0.13875598086124402,0,0,True,81033,204.75766045931906,7275363.258103448,34810,100950016.5
2020-01-29,ALPHA,109.5,90.0,0.1780821917808219,0,0,True,137498,104.59086677624401,5674867.373846155,51825,101059282.0
2020-01-29,BETA,209.5,180.0,0.14081145584725538,0,0,True,81033,204.75766045931906,7176921.89118644,34257,101059282.0
2020-01-30,ALPHA,110.0,90.0,0.18181818181818182,0,0,True,137498,104.59086677624401,5564270.1125,50584,101168547.5
2020-01-30,BETA,210.0,180.0,0.14285714285714285,0,0,True,81033,204.75766045931906,7081798.325,33722,101168547.5
2020-01-31,ALPHA,110.5,90.0,0.18552036199095023,0,0,True,137498,104.59086677624401,5459121.139756097,49403,101277813.0
2020-01-31,BETA,210.5,180.0,0.14489311163895488,0,0,True,81033,204.75766045931906,6989829.389016393,33205,101277813.0
2020-02-03,ALPHA,111.0,90.0,0.1891891891891892,0,0,True,137498,104.59086677624401,5359031.292142857,48279,101387078.5
2020-02-03,BETA,211.0,180.0,0.14691943127962084,0,0,True,81033,204.75766045931906,6900862.43983871,32705,101387078.5
2020-02-04,ALPHA,111.5,90.0,0.19282511210762332,0,0,True,137498,104.59086677624401,5263647.607441861,47207,101496344.0
2020-02-04,BETA,211.5,180.0,0.14893617021276595,0,0,True,81033,204.75766045931906,6814754.525714287,32221,101496344.0
2020-02-05,ALPHA,112.0,90.0,0.19642857142857142,0,0,True,137498,104.59086677624401,5172649.210909091,46184,101605609.5
2020-02-05,BETA,212.0,180.0,0.1509433962264151,0,0,True,81033,204.75766045931906,6731371.6293750005,31751,101605609.5
2020-02-06,ALPHA,112.5,90.0,0.2,0,0,True,137498,104.59086677624401,5085743.75,45206,101714875.0
2020-02-06,BETA,212.5,180.0,0.15294117647058825,0,0,True,81033,204.75766045931906,6650587.98076923,31296,101714875.0
2020-02-07,ALPHA,113.0,90.0,0.20353982300884957,0,0,True,137498,104.59086677624401,5002664.294130434,44271,101824140.5
2020-02-07,BETA,213.0,180.0,0.15492957746478872,0,0,True,81033,204.75766045931906,6572285.432272728,30855,101824140.5
2020-02-10,ALPHA,113.5,90.0,0.20704845814977973,0,0,True,137498,104.59086677624401,4923166.630212766,43375,101933406.0
